From	To	Species	Gene Name
ENSG00000114978	MOBKL1B	Homo sapiens	MOB1, Mps One Binder kinase activator-like 1B (yeast)
ENSG00000106100	NOD1	Homo sapiens	nucleotide-binding oligomerization domain containing 1
ENSG00000073921	PICALM	Homo sapiens	phosphatidylinositol binding clathrin assembly protein
ENSG00000133275	CSNK1G2	Homo sapiens	casein kinase 1, gamma 2
ENSG00000115107	STEAP3	Homo sapiens	STEAP family member 3
ENSG00000008838	MED24	Homo sapiens	mediator complex subunit 24
ENSG00000073712	Fermt2	Homo sapiens	fermitin family homolog 2 (Drosophila)
ENSG00000137821	LOC654258	Homo sapiens	leucine rich repeat containing 49; similar to leucine rich repeat containing 49
ENSG00000137821	LRRC49	Homo sapiens	leucine rich repeat containing 49; similar to leucine rich repeat containing 49
ENSG00000117868	Esyt2	Homo sapiens	family with sequence similarity 62 (C2 domain containing), member B
ENSG00000095970	TREM2	Homo sapiens	triggering receptor expressed on myeloid cells 2
ENSG00000074660	SCARF1	Homo sapiens	scavenger receptor class F, member 1
ENSG00000170745	KCNS3	Homo sapiens	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3
ENSG00000196407	THEM5	Homo sapiens	thioesterase superfamily member 5
ENSG00000196159	FAT4	Homo sapiens	FAT tumor suppressor homolog 4 (Drosophila)
ENSG00000138434	SSFA2	Homo sapiens	sperm specific antigen 2
ENSG00000197943	PLCG2	Homo sapiens	phospholipase C, gamma 2 (phosphatidylinositol-specific)
ENSG00000179344	HLA-DQB1	Homo sapiens	major histocompatibility complex, class II, DQ beta 1; similar to major histocompatibility complex, class II, DQ beta 1
ENSG00000179344	LOC100133583	Homo sapiens	major histocompatibility complex, class II, DQ beta 1; similar to major histocompatibility complex, class II, DQ beta 1
ENSG00000166448	TMEM130	Homo sapiens	transmembrane protein 130
ENSG00000142347	myo1f	Homo sapiens	myosin IF
ENSG00000170604	IRF2BP1	Homo sapiens	interferon regulatory factor 2 binding protein 1
ENSG00000166342	NETO1	Homo sapiens	neuropilin (NRP) and tolloid (TLL)-like 1
ENSG00000181631	P2RY13	Homo sapiens	purinergic receptor P2Y, G-protein coupled, 13
ENSG00000161249	Dmkn	Homo sapiens	dermokine
ENSG00000125355	fam70a	Homo sapiens	family with sequence similarity 70, member A
ENSG00000158859	ADAMTS4	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif, 4
ENSG00000129968	Fam108a1	Homo sapiens	family with sequence similarity 108, member A4; family with sequence similarity 108, member A5; family with sequence similarity 108, member A1
ENSG00000129968	FAM108A4	Homo sapiens	family with sequence similarity 108, member A4; family with sequence similarity 108, member A5; family with sequence similarity 108, member A1
ENSG00000129968	FAM108A5	Homo sapiens	family with sequence similarity 108, member A4; family with sequence similarity 108, member A5; family with sequence similarity 108, member A1
ENSG00000166987	MBD6	Homo sapiens	methyl-CpG binding domain protein 6
ENSG00000185043	CIB1	Homo sapiens	calcium and integrin binding 1 (calmyrin)
ENSG00000078061	araF	Homo sapiens	v-raf murine sarcoma 3611 viral oncogene homolog
ENSG00000198502	HLA-DRB5	Homo sapiens	major histocompatibility complex, class II, DR beta 5
ENSG00000160862	AZGP1P1	Homo sapiens	alpha-2-glycoprotein 1, zinc-binding pseudogene 1; alpha-2-glycoprotein 1, zinc-binding
ENSG00000160862	AZGP1	Homo sapiens	alpha-2-glycoprotein 1, zinc-binding pseudogene 1; alpha-2-glycoprotein 1, zinc-binding
ENSG00000119917	Ifit3	Homo sapiens	interferon-induced protein with tetratricopeptide repeats 3
ENSG00000181163	LOC399804	Homo sapiens	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)
ENSG00000181163	LOC100131044	Homo sapiens	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)
ENSG00000181163	LOC729686	Homo sapiens	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)
ENSG00000181163	Npm1	Homo sapiens	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)
ENSG00000181163	LOC729342	Homo sapiens	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)
ENSG00000181163	NPM1P21	Homo sapiens	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)
